age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,remark,pline,track,hhead,respond,year,returnee
16.0,,,3.0,0,13800.0,54000.0,5000.0,56640.004,,1.0,1.0,1.0,1.0,,,3.0,,,0.0,2.0,1.0,2013011314,,3.0,1,0.0,0.0,2015.0,0.0
31.0,9.0,18494.62890625,4.0,0,55710.0,74034.0,,18269.207,,0.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,,0.0,2.0,2.0,2015023854,,4.0,0,0.0,0.0,2015.0,1.0
45.0,6.0,2999.9990234375,5.0,0,58671.25,17885.0,40000.0,38502.734,4500.00048828125,0.0,1.0,2.0,3.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,2015032899,,4.0,0,0.0,0.0,2015.0,0.0
21.0,12.0,,4.0,1,480931.62,403734.0,150000.0,31395.402,1999.9998779296875,0.0,1.0,2.0,1.0,0.0,,3.0,,0.0,0.0,1.0,2.0,2015032188,,4.0,0,0.0,0.0,2015.0,1.0
31.0,9.0,,2.0,0,53624.75,21713.0,,154800.02,100000.015625,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2013018590,,1.0,1,1.0,0.0,2015.0,0.0
45.0,9.0,,8.0,3,8152633.0,871766.0,,191899.97,5699.998046875,0.0,1.0,2.0,2.0,0.0,3.0,,,0.0,0.0,1.0,1.0,2015017032,,2.0,0,0.0,0.0,2015.0,1.0
35.0,16.0,,2.0,0,423583.3,1223.0,,134600.0,,0.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,2015000801,,1.0,0,1.0,1.0,2015.0,0.0
44.0,9.0,21599.9921875,4.0,0,700796.5,58080.0,,73079.99,,0.0,1.0,2.0,2.0,1.0,3.0,,1.0,0.0,0.0,1.0,1.0,2013027769,,1.0,1,0.0,0.0,2015.0,0.0
27.0,16.0,,5.0,0,217800.0,11800.0,,12240.0,,0.0,,2.0,,,,,,,,1.0,2.0,2013007182,,4.0,1,0.0,0.0,2015.0,0.0
31.0,9.0,71999.96875,6.0,0,304464.25,177625.0,,33583.47,,1.0,1.0,2.0,1.0,1.0,,,0.0,0.0,0.0,1.0,2.0,2013020966,,7.0,1,0.0,0.0,2015.0,1.0
