age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,track,hhead,year,hhid_2011,hhid_2013,hhid_2015,hhid_2017,returnee
47.0,15.0,120000.0,3.0,2,1259879.0,207974.0,330000.0,153313.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,,2.0,1.0,2013004346,2,1,1.0,2017.0,.,2013004346,2015005370,2017031513,1.0
43.0,0.0,,3.0,0,60811.0,12010.0,,45343.0,,0.0,1.0,2.0,,1.0,3.0,3.0,,,0.0,1.0,2.0,2015032364,4,1,,2017.0,.,.,2015032364,2017001593,0.0
42.0,12.0,,2.0,1,64058.0,3287.0,0.0,52020.0,,0.0,1.0,2.0,1.0,1.0,,,0.0,,,2.0,1.0,2017023950,3,0,,2017.0,.,.,.,2017023950,0.0
52.0,9.0,30000.0,2.0,0,706350.0,158304.0,150000.0,170372.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2017036988,2,0,1.0,2017.0,.,.,.,2017036988,1.0
25.0,9.0,,3.0,0,469436.0,90296.4,20000.0,34807.0,,1.0,1.0,1.0,2.0,0.0,,3.0,,0.0,0.0,1.0,1.0,2013020984,4,1,,2017.0,.,2013020984,2015028778,2017022427,1.0
28.0,9.0,36000.0,2.0,1,595478.0,147999.0,70000.0,88599.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2015009040,2,1,,2017.0,.,.,2015009040,2017018289,1.0
24.0,12.0,,2.0,1,1485325.0,21703.5,0.0,99432.0,6000.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,,,2.0,1.0,2017004307,1,0,,2017.0,.,.,.,2017004307,0.0
53.0,15.0,36000.0,2.0,0,78000.0,156428.5,6000.0,110220.0,,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,,,2.0,1.0,2017002186,2,0,,2017.0,.,.,.,2017002186,0.0
19.0,16.0,,3.0,1,311000.0,233387.5,0.0,55236.0,,0.0,1.0,1.0,1.0,0.0,,3.0,,,,1.0,1.0,2017019006,4,0,,2017.0,.,.,.,2017019006,1.0
55.0,12.0,,2.0,0,560429.0,79337.5,0.0,30664.0,,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,1.0,1.0,2015012433,1,1,1.0,2017.0,.,.,2015012433,2017020486,1.0
55.0,6.0,,3.0,0,1580245.0,82706.0,,172300.0,10000.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,,0.0,,1.0,2.0,2013027061,2,1,,2017.0,.,2013027061,2015036256,2017023938,1.0
23.0,16.0,,5.0,3,1797946.0,1882669.2,0.0,140000.0,,0.0,1.0,1.0,1.0,0.0,,3.0,,,0.0,1.0,1.0,2013003449,4,1,,2017.0,.,2013003449,2015004012,2017013053,1.0
40.0,16.0,48000.0,2.0,1,1202548.0,98500.0,0.0,40980.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2017000874,2,0,1.0,2017.0,.,.,.,2017000874,1.0
23.0,9.0,24000.0,3.0,0,23100.0,26430.0,0.0,5936.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,2017001305,3,0,,2017.0,.,.,.,2017001305,0.0
41.0,12.0,,8.0,5,972950.0,1153987.0,0.0,104554.0,,0.0,1.0,2.0,1.0,1.0,,3.0,0.0,,0.0,1.0,1.0,2017020615,4,0,,2017.0,.,.,.,2017020615,1.0
18.0,12.0,,5.0,0,19896.0,3220.0,4000.0,17257.0,,0.0,1.0,1.0,1.0,0.0,3.0,3.0,,,0.0,1.0,1.0,2013021460,3,1,,2017.0,.,2013021460,2015029495,2017000043,0.0
19.0,12.0,,3.0,0,262899.0,34422.8,40000.0,12308.0,,0.0,1.0,1.0,1.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,2013003914,6,1,,2017.0,.,2013003914,2015004683,2017001453,0.0
44.0,12.0,24000.0,3.0,0,4892000.0,127574.0,270000.0,85000.0,,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,,1.0,1.0,2013001362,2,1,,2017.0,.,2013001362,2015001360,2017005362,1.0
30.0,9.0,,4.0,0,920410.0,170008.5,150000.0,76738.0,,1.0,1.0,2.0,1.0,1.0,,3.0,0.0,0.0,0.0,1.0,1.0,2015030522,2,1,,2017.0,.,.,2015030522,2017004209,1.0
47.0,6.0,45000.0,1.0,0,3905438.0,139813.0,0.0,60432.0,,0.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,0.0,,1.0,1.0,2015014296,2,1,,2017.0,.,.,2015014296,2017012058,1.0
30.0,15.0,150000.0,2.0,1,1326774.0,259400.0,400000.0,72000.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2013025610,21,1,1.0,2017.0,.,2013025610,2015034433,2017013978,1.0
27.0,6.0,,4.0,0,913450.0,70945.0,,39640.0,7000.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,,0.0,0.0,1.0,1.0,201105711,5,1,,2017.0,201105711,2013017353,2015023085,2017023693,1.0
24.0,15.0,42000.0,4.0,0,292530.0,99259.05,0.0,21364.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2017033962,4,0,,2017.0,.,.,.,2017033962,1.0
22.0,15.0,,3.0,0,67465.0,38001.75,81000.0,47780.0,,1.0,1.0,1.0,3.0,0.0,,2.0,,,0.0,1.0,2.0,2013024173,5,1,,2017.0,.,2013024173,2015032859,2017006434,1.0
38.0,12.0,,2.0,2,2718727.0,172000.0,83000.0,138500.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,2.0,1.0,2015017610,1,1,1.0,2017.0,.,.,2015017610,2017000142,1.0
30.0,16.0,60000.0,1.0,0,663633.0,95358.055,,73240.0,,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2015026171,1,1,1.0,2017.0,.,.,2015026171,2017018276,1.0
45.0,9.0,21000.0,1.0,0,528154.0,80400.0,0.0,29000.0,,1.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,,1.0,2.0,201106049,3,1,,2017.0,201106049,2013018160,2015024037,2017025297,1.0
54.0,12.0,48000.0,2.0,1,2144481.0,77017.5,700000.0,273700.0,,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,,2.0,1.0,2015032690,1,1,1.0,2017.0,.,.,2015032690,2017008311,1.0
21.0,9.0,,3.0,0,60310.0,5388.6,0.0,50800.0,,0.0,1.0,1.0,1.0,0.0,3.0,3.0,,,1.0,1.0,1.0,2017038004,7,0,,2017.0,.,.,.,2017038004,0.0
52.0,16.0,30000.0,3.0,0,778000.0,55167.5,0.0,35572.0,,1.0,1.0,2.0,1.0,1.0,,,0.0,0.0,,2.0,1.0,2017030425,1,0,1.0,2017.0,.,.,.,2017030425,1.0
55.0,0.0,,3.0,2,2333636.0,463800.0,120000.0,173626.0,6000.0,0.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,,,1.0,1.0,2015036907,3,1,,2017.0,.,.,2015036907,2017006729,1.0
30.0,16.0,36000.0,3.0,0,837498.0,106715.0,400000.0,22388.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2013018636,4,1,,2017.0,.,2013018636,2015024595,2017027837,1.0
